site,year,fuel,PJ
Battlefield EfW,2048,biomass,0.0682
Battlefield EfW,2048,electricity,0.0396
Battlefield EfW,2048,gas,0.1896
Battlefield EfW,2050,biomass,0.0682
Battlefield EfW,2050,electricity,0.0991
Beatson Clark plc - Rotherham,2026,biomass,0.1916
Beatson Clark plc - Rotherham,2026,gas,0.721
Beatson Clark plc - Rotherham,2028,biomass,0.1916
Beatson Clark plc - Rotherham,2028,gas,0.721
Beatson Clark plc - Rotherham,2030,biomass,0.1916
Beatson Clark plc - Rotherham,2030,gas,0.721
Beatson Clark plc - Rotherham,2032,biomass,0.1916
Beatson Clark plc - Rotherham,2032,gas,0.0223
Beatson Clark plc - Rotherham,2032,hydrogen,0.7176
Beatson Clark plc - Rotherham,2034,biomass,0.1916
Beatson Clark plc - Rotherham,2034,gas,0.0163
Beatson Clark plc - Rotherham,2034,hydrogen,0.7176
Beatson Clark plc - Rotherham,2036,biomass,0.1916
Beatson Clark plc - Rotherham,2036,gas,0.0103
Beatson Clark plc - Rotherham,2036,hydrogen,0.7176
Beatson Clark plc - Rotherham,2038,biomass,0.1916
Beatson Clark plc - Rotherham,2038,gas,0.0077
Beatson Clark plc - Rotherham,2038,hydrogen,0.7176
Beatson Clark plc - Rotherham,2040,biomass,0.1916
Beatson Clark plc - Rotherham,2040,gas,0.0051
Beatson Clark plc - Rotherham,2040,hydrogen,0.7176
Beatson Clark plc - Rotherham,2042,biomass,0.1916
Beatson Clark plc - Rotherham,2042,gas,0.0026
Beatson Clark plc - Rotherham,2042,hydrogen,0.7176
Beatson Clark plc - Rotherham,2044,biomass,0.1916
Beatson Clark plc - Rotherham,2044,hydrogen,0.7176
Beatson Clark plc - Rotherham,2046,biomass,0.1889
Beatson Clark plc - Rotherham,2046,hydrogen,0.7176
Beatson Clark plc - Rotherham,2048,biomass,0.1889
Beatson Clark plc - Rotherham,2048,hydrogen,0.7149
Beatson Clark plc - Rotherham,2050,biomass,0.1889
Beatson Clark plc - Rotherham,2050,hydrogen,0.7123
Beckton STW,2026,gas,0.2398
Beckton STW,2028,gas,0.2398
Beckton STW,2030,gas,0.2398
Beckton STW,2032,gas,0.2382
Beckton STW,2034,gas,0.2366
Beckton STW,2036,gas,0.235
Beckton STW,2038,gas,0.2343
Beckton STW,2040,gas,0.2336
Beckton STW,2042,gas,0.2096
Beckton STW,2042,hydrogen,0.0241
Beckton STW,2044,biomass,0.0248
Beckton STW,2044,gas,0.1856
Beckton STW,2044,hydrogen,0.0241
Beckton STW,2046,biomass,0.0248
Beckton STW,2046,gas,0.1617
Beckton STW,2046,hydrogen,0.0483
Beckton STW,2048,biomass,0.0248
Beckton STW,2048,electricity,0.0214
Beckton STW,2048,gas,0.1377
Beckton STW,2048,hydrogen,0.0483
Beckton STW,2050,biomass,0.0248
Beckton STW,2050,electricity,0.0214
Beckton STW,2050,gas,0.1137
Beckton STW,2050,hydrogen,0.0724
Beddington ERF,2026,gas,0.8872
Beddington ERF,2028,gas,0.8872
Beddington ERF,2030,gas,0.8872
Beddington ERF,2032,gas,0.8813
Beddington ERF,2034,gas,0.8754
Beddington ERF,2036,gas,0.8695
Beddington ERF,2038,gas,0.7808
Beddington ERF,2038,hydrogen,0.0893
Beddington ERF,2040,gas,0.692
Beddington ERF,2040,hydrogen,0.1786
Beddington ERF,2042,gas,0.6033
Beddington ERF,2042,hydrogen,0.2679
Beddington ERF,2044,gas,0.6756
Beddington ERF,2044,hydrogen,0.2679
Beddington ERF,2046,gas,0.6731
Beddington ERF,2046,hydrogen,0.2679
Beddington ERF,2048,gas,0.6705
Beddington ERF,2048,hydrogen,0.2679
Beddington ERF,2050,gas,0.668
Beddington ERF,2050,hydrogen,0.2679
Belfast,2026,gas,0.2683
Belfast,2028,gas,0.2683
Belfast,2030,gas,0.2683
Belfast,2032,gas,0.2665
Belfast,2034,gas,0.2647
Belfast,2036,gas,0.2629
Belfast,2038,gas,0.2622
Belfast,2040,gas,0.2614
Belfast,2042,biomass,0.0277
Belfast,2042,gas,0.2346
Belfast,2044,biomass,0.0277
Belfast,2044,electricity,0.0082
Belfast,2044,gas,0.2077
Belfast,2046,biomass,0.0277
Belfast,2046,electricity,0.0164
Belfast,2046,gas,0.1809
Belfast,2048,biomass,0.0277
Belfast,2048,electricity,0.0246
Belfast,2048,gas,0.1541
Belfast,2050,biomass,0.0277
Belfast,2050,electricity,0.073
Belfast (2),2026,gas,0.4621
Belfast (2),2028,gas,0.4621
Belfast (2),2030,gas,0.4621
Belfast (2),2032,gas,0.459
Belfast (2),2034,gas,0.4559
Belfast (2),2036,gas,0.4529
Belfast (2),2038,gas,0.4515
Belfast (2),2040,gas,0.4502
Belfast (2),2042,biomass,0.0477
Belfast (2),2042,gas,0.404
Belfast (2),2044,biomass,0.0477
Belfast (2),2044,electricity,0.0413
Belfast (2),2044,gas,0.3578
Belfast (2),2046,biomass,0.0477
Belfast (2),2046,electricity,0.0825
Belfast (2),2046,gas,0.3116
Belfast (2),2048,biomass,0.0477
Belfast (2),2048,electricity,0.1237
Belfast (2),2048,gas,0.2654
Belfast (2),2050,biomass,0.0477
Belfast (2),2050,electricity,0.207
Belvedere,2026,gas,2.711
Belvedere,2028,gas,2.711
Belvedere,2030,gas,2.711
Belvedere,2032,gas,2.6929
Belvedere,2034,gas,2.6748
Belvedere,2036,gas,2.6567
Belvedere,2038,gas,2.649
Belvedere,2040,gas,2.6412
Belvedere,2042,gas,2.6667
Belvedere,2044,electricity,2.1495
Belvedere,2044,gas,0.3198
Belvedere,2046,electricity,2.1495
Belvedere,2046,gas,0.312
Belvedere,2048,electricity,2.1495
Belvedere,2048,gas,0.3043
Belvedere,2050,electricity,2.1495
Belvedere,2050,gas,0.2966
Billingham Fertilizer Works,2026,biomass,0.0442
Billingham Fertilizer Works,2026,gas,0.6257
Billingham Fertilizer Works,2028,biomass,0.0709
Billingham Fertilizer Works,2028,gas,0.6005
Billingham Fertilizer Works,2030,biomass,0.0709
Billingham Fertilizer Works,2030,gas,0.5338
Billingham Fertilizer Works,2030,hydrogen,0.0691
Billingham Fertilizer Works,2032,biomass,0.0709
Billingham Fertilizer Works,2032,gas,0.4671
Billingham Fertilizer Works,2032,hydrogen,0.1336
Billingham Fertilizer Works,2034,biomass,0.0709
Billingham Fertilizer Works,2034,gas,0.4003
Billingham Fertilizer Works,2034,hydrogen,0.1982
Billingham Fertilizer Works,2036,biomass,0.0709
Billingham Fertilizer Works,2036,gas,0.3336
Billingham Fertilizer Works,2036,hydrogen,0.2627
Billingham Fertilizer Works,2038,biomass,0.0709
Billingham Fertilizer Works,2038,gas,0.0076
Billingham Fertilizer Works,2038,hydrogen,0.5984
Billingham Fertilizer Works,2040,biomass,0.0709
Billingham Fertilizer Works,2040,gas,0.0057
Billingham Fertilizer Works,2040,hydrogen,0.5984
Billingham Fertilizer Works,2042,biomass,0.0709
Billingham Fertilizer Works,2042,gas,0.0038
Billingham Fertilizer Works,2042,hydrogen,0.5984
Billingham Fertilizer Works,2044,biomass,0.0709
Billingham Fertilizer Works,2044,gas,0.0019
Billingham Fertilizer Works,2044,hydrogen,0.5984
Billingham Fertilizer Works,2046,biomass,0.0709
