site,year,fuel,PJ
Cramlington,2031,gas,0.2645
Cramlington,2032,gas,0.2636
Cramlington,2033,gas,0.2627
Cramlington,2034,gas,0.2619
Cramlington,2035,gas,0.261
Cramlington,2036,gas,0.2601
DSM Dalry,2026,biomass,0.0
DSM Dalry,2026,gas,1.1312
DSM Dalry,2027,biomass,0.0
DSM Dalry,2027,gas,1.1312
DSM Dalry,2028,biomass,0.0
DSM Dalry,2028,gas,1.1312
DSM Dalry,2029,biomass,0.0
DSM Dalry,2029,gas,1.1312
DSM Dalry,2030,biomass,0.0
DSM Dalry,2030,gas,1.1312
DSM Dalry,2031,biomass,0.0
DSM Dalry,2031,gas,1.1274
DSM Dalry,2032,biomass,0.0
DSM Dalry,2032,gas,1.1236
DSM Dalry,2033,biomass,0.0
DSM Dalry,2033,gas,1.1199
DSM Dalry,2034,biomass,0.0
DSM Dalry,2034,gas,1.1161
DSM Dalry,2035,biomass,0.0
DSM Dalry,2035,gas,1.1123
DSM Dalry,2036,biomass,0.0
DSM Dalry,2036,gas,1.1085
Darley Dale,2026,gas,1.0514
Darley Dale,2027,gas,1.0514
Darley Dale,2028,gas,1.0514
Darley Dale,2029,gas,1.0514
Darley Dale,2030,gas,1.0514
Darley Dale,2031,gas,1.0479
Darley Dale,2032,gas,1.0444
Darley Dale,2033,gas,1.0409
Darley Dale,2034,gas,1.0374
Darley Dale,2035,gas,1.0339
Darley Dale,2036,gas,1.0304
Davidstow Creamery,2026,gas,0.3314
Davidstow Creamery,2027,gas,0.3314
Davidstow Creamery,2028,gas,0.3314
Davidstow Creamery,2029,gas,0.3314
Davidstow Creamery,2030,gas,0.3314
Davidstow Creamery,2031,gas,0.3303
