site,tech,year,units
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2034,2.7557
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2035,2.7464
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2036,2.7371
Teesside Hydrogen Plant,biomass_boiler,2026,0.0001
Teesside Hydrogen Plant,biomass_boiler,2027,0.0001
Teesside Hydrogen Plant,biomass_boiler,2028,0.0001
Teesside Hydrogen Plant,biomass_boiler,2029,0.0001
Teesside Hydrogen Plant,biomass_boiler,2030,0.0001
Teesside Hydrogen Plant,biomass_boiler,2031,0.0001
Teesside Hydrogen Plant,biomass_boiler,2032,0.0001
Teesside Hydrogen Plant,biomass_boiler,2033,0.0001
Teesside Hydrogen Plant,biomass_boiler,2034,0.0001
Teesside Hydrogen Plant,biomass_boiler,2035,0.0001
Teesside Hydrogen Plant,biomass_boiler,2036,0.0001
Teesside Hydrogen Plant,gas_boiler,2026,2.7617
Teesside Hydrogen Plant,gas_boiler,2027,2.7617
Teesside Hydrogen Plant,gas_boiler,2028,2.7617
Teesside Hydrogen Plant,gas_boiler,2029,2.7617
Teesside Hydrogen Plant,gas_boiler,2030,2.7617
Teesside Hydrogen Plant,gas_boiler,2031,2.7525
Teesside Hydrogen Plant,gas_boiler,2032,2.7433
Teesside Hydrogen Plant,gas_boiler,2033,2.7341
Teesside Hydrogen Plant,gas_boiler,2034,2.7249
Teesside Hydrogen Plant,gas_boiler,2035,2.7157
Teesside Hydrogen Plant,gas_boiler,2036,2.7065
Hindlow Lime,biomass_boiler,2026,0.0
Hindlow Lime,biomass_boiler,2027,0.0
Hindlow Lime,biomass_boiler,2028,0.0
Hindlow Lime,biomass_boiler,2029,0.0
Hindlow Lime,biomass_boiler,2030,0.0
Hindlow Lime,biomass_boiler,2031,0.0
Hindlow Lime,biomass_boiler,2032,0.0
Hindlow Lime,biomass_boiler,2033,0.0
Hindlow Lime,biomass_boiler,2034,0.0
Hindlow Lime,biomass_boiler,2035,0.0
Hindlow Lime,biomass_boiler,2036,0.0
Hindlow Lime,gas_boiler,2026,2.7606
Hindlow Lime,gas_boiler,2027,2.7606
Hindlow Lime,gas_boiler,2028,2.7606
Hindlow Lime,gas_boiler,2029,2.7606
Hindlow Lime,gas_boiler,2030,2.7606
Hindlow Lime,gas_boiler,2031,2.7514
Hindlow Lime,gas_boiler,2032,2.7422
Hindlow Lime,gas_boiler,2033,2.733
Hindlow Lime,gas_boiler,2034,2.7238
Hindlow Lime,gas_boiler,2035,2.7146
Hindlow Lime,gas_boiler,2036,2.7054
Port of Liverpool CHP,biomass_boiler,2026,0.0
Port of Liverpool CHP,biomass_boiler,2027,0.0
Port of Liverpool CHP,biomass_boiler,2028,0.0
Port of Liverpool CHP,biomass_boiler,2029,0.0
Port of Liverpool CHP,biomass_boiler,2030,0.0
Port of Liverpool CHP,biomass_boiler,2031,0.0
Port of Liverpool CHP,biomass_boiler,2032,0.0
Port of Liverpool CHP,biomass_boiler,2033,0.0
Port of Liverpool CHP,biomass_boiler,2034,0.0
Port of Liverpool CHP,biomass_boiler,2035,0.0
Port of Liverpool CHP,biomass_boiler,2036,0.0
Port of Liverpool CHP,gas_boiler,2026,2.7102
Port of Liverpool CHP,gas_boiler,2027,2.7102
Port of Liverpool CHP,gas_boiler,2028,2.7102
Port of Liverpool CHP,gas_boiler,2029,2.7102
Port of Liverpool CHP,gas_boiler,2030,2.7102
Port of Liverpool CHP,gas_boiler,2031,2.7011
Port of Liverpool CHP,gas_boiler,2032,2.6921
Port of Liverpool CHP,gas_boiler,2033,2.6831
Port of Liverpool CHP,gas_boiler,2034,2.674
Port of Liverpool CHP,gas_boiler,2035,2.665
Port of Liverpool CHP,gas_boiler,2036,2.656
Kronospan Ltd,biomass_boiler,2026,0.0001
Kronospan Ltd,biomass_boiler,2027,0.0001
Kronospan Ltd,biomass_boiler,2028,0.0001
Kronospan Ltd,biomass_boiler,2029,0.0001
