site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
Nestle Purina Wisbech,heat,small,False,heat,0.2098,gas_boiler,0.2331,1.599,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Runcorn,heat,small,False,heat,0.257,gas_boiler,0.2856,1.391,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Dorket Head Brickworks,heat,small,False,heat,0.4685,gas_boiler,0.5205,1.091,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
South Holmwood Brickworks,heat,small,False,heat,0.2239,gas_boiler,0.2488,1.545,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Wigan,heat,small,False,heat,0.3766,gas_boiler,0.4185,1.191,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Oakenholt Paper Mill,heat,small,False,heat,0.3568,gas_boiler,0.3964,1.218,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Mostyn,heat,small,False,heat,0.2667,gas_boiler,0.2963,1.363,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Greatham,heat,small,False,heat,0.2352,gas_boiler,0.2613,1.49,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Widnes,heat,small,False,heat,0.4357,gas_boiler,0.4842,1.11,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Leek,heat,small,False,heat,0.3607,gas_boiler,0.4007,1.209,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Barry,heat,small,False,heat,0.1989,gas_boiler,0.221,1.617,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Great Ryburgh Maltings,heat,small,False,heat,0.1794,gas_boiler,0.1993,1.69,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Wakefield,heat,small,False,heat,0.2117,gas_boiler,0.2352,1.59,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Harlesden,heat,small,False,heat,0.2403,gas_boiler,0.267,1.463,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Grimsby,heat,small,False,heat,0.8156,gas_boiler,0.9063,0.928,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Gateshead,heat,small,False,heat,0.4065,gas_boiler,0.4516,1.146,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Cramlington,heat,small,False,heat,0.2391,gas_boiler,0.2657,1.481,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Greenock,heat,small,False,heat,0.1857,gas_boiler,0.2064,1.663,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Thornton-Cleveleys,heat,small,False,heat,0.2745,gas_boiler,0.305,1.354,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
